id,Captions,URL,Class,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7
32,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90323_submitter_file3__fullsizeoutput64.jpeg,"['warplane, military plane']",warplane, military plane,NA,NA,NA,NA,NA
33,a close up of a blue and white kite .,http://www.mufoncms.com/files_jeud8334j/90217_submitter_file1__28053380202590190324196719752393n.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
34,a red and white fire hydrant sitting in the middle of a field .,http://www.mufoncms.com/files_jeud8334j/90138_submitter_file1__LakefrontUfoPenrose.jpg,['suspension bridge'],suspension bridge,NA,NA,NA,NA,NA,NA
35,a bench sitting in the middle of a field .,http://www.mufoncms.com/files_jeud8334j/90138_submitter_file2__LakefrontPenrose.jpg,"['lakeside, lakeshore']",lakeside, lakeshore,NA,NA,NA,NA,NA
36,a group of birds flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/90138_submitter_file3__LakefrontUfoPenroseedgedetection.jpg,['barn'],barn,NA,NA,NA,NA,NA,NA
37,a fire hydrant in front of a building .,http://www.mufoncms.com/files_jeud8334j/90138_submitter_file4__LakefrontUfoPenroseedgedetectioncroppedsmaller.jpg,['barn'],barn,NA,NA,NA,NA,NA,NA
38,a view of a street light from a car .,http://www.mufoncms.com/files_jeud8334j/90135_submitter_file1__image.jpg,"['mobile home, manufactured home']",mobile home, manufactured home,NA,NA,NA,NA,NA
39,a giraffe standing in the middle of a field .,http://www.mufoncms.com/files_jeud8334j/90135_submitter_file2__image.jpg,['rapeseed'],rapeseed,NA,NA,NA,NA,NA,NA
40,a traffic light sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/90135_submitter_file3__image.jpg,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,NA,NA,NA,NA
41,a tall clock tower with a sky background,http://www.mufoncms.com/files_jeud8334j/90135_submitter_file4__image.jpg,"['beacon, lighthouse, beacon light, pharos']",beacon, lighthouse, beacon light, pharos,NA,NA,NA
42,a view of a street light from a window .,http://www.mufoncms.com/files_jeud8334j/90135_submitter_file5__image.jpg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
43,a group of people standing on top of a mountain .,http://www.mufoncms.com/files_jeud8334j/90132_submitter_file1__ufo.jpg,"['cliff, drop, drop-off']",cliff, drop, drop-off,NA,NA,NA,NA
44,a bunch of birds that are flying in the air .,http://www.mufoncms.com/files_jeud8334j/90132_submitter_file2__ufocloseup.jpg,"['cliff, drop, drop-off']",cliff, drop, drop-off,NA,NA,NA,NA
45,a bird flying over a snow covered forest .,http://www.mufoncms.com/files_jeud8334j/90661_submitter_file1__20180121101317.jpg,['nail'],nail,NA,NA,NA,NA,NA,NA
46,a view of an intersection with a traffic light .,http://www.mufoncms.com/files_jeud8334j/90737_submitter_file1__20180312195640.jpg,"['snowplow, snowplough']",snowplow, snowplough,NA,NA,NA,NA,NA
47,a view of a city street from the side of a road .,http://www.mufoncms.com/files_jeud8334j/90737_submitter_file2__20180312195643.jpg,"['snowplow, snowplough']",snowplow, snowplough,NA,NA,NA,NA,NA
48,a very tall clock tower with a sky background,http://www.mufoncms.com/files_jeud8334j/90737_submitter_file3__201803121956401.jpg,['cuirass'],cuirass,NA,NA,NA,NA,NA,NA
49,a train traveling over a bridge over a river .,http://www.mufoncms.com/files_jeud8334j/90737_submitter_file4__20180312195648.jpg,"['snowplow, snowplough']",snowplow, snowplough,NA,NA,NA,NA,NA
50,a little girl holding a kite in her hands .,http://www.mufoncms.com/files_jeud8334j/90731_submitter_file1__DC343D14209140D3B8AADD95EE49EA0D.png,"['jean, blue jean, denim']",jean, blue jean, denim,NA,NA,NA,NA
51,a young boy is playing with a frisbee .,http://www.mufoncms.com/files_jeud8334j/90731_submitter_file2__AE379AF0140F4B5889AE727F50EE4D70.png,"['balance beam, beam']",balance beam, beam,NA,NA,NA,NA,NA
52,a young boy is playing with a frisbee .,http://www.mufoncms.com/files_jeud8334j/90731_submitter_file3__4CAB280F969343538423F9B0C16B11CF.png,"['balance beam, beam']",balance beam, beam,NA,NA,NA,NA,NA
53,a little girl holding a pink frisbee in her hands .,http://www.mufoncms.com/files_jeud8334j/90731_submitter_file4__2CC8880F309748A7BD3CAE4544AB78FC.png,"['balance beam, beam']",balance beam, beam,NA,NA,NA,NA,NA
54,a young boy holding a baseball bat in his hands .,http://www.mufoncms.com/files_jeud8334j/90731_submitter_file5__15A5EBCAFC8245DF91D59886C5B5B90D.png,"['jean, blue jean, denim']",jean, blue jean, denim,NA,NA,NA,NA
55,a snow covered mountain with a lot of snow .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file1__9D3DB743B5134431B1EDBA9ADA2BA43A.jpeg,['wing'],wing,NA,NA,NA,NA,NA,NA
56,a man flying through the air while riding a snowboard .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file2__039BCBEA4DEA41E3AC047AD5C2B54FBC.jpeg,['knot'],knot,NA,NA,NA,NA,NA,NA
57,a plane flying over a mountain with a sky background,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file3__B5EBFB2B91DC4CFEA68353DF03E1C2A1.jpeg,['geyser'],geyser,NA,NA,NA,NA,NA,NA
58,a person in the air on a snowboard .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file4__7455813CE3354437A0AF26602E7515CD.jpeg,['knot'],knot,NA,NA,NA,NA,NA,NA
59,a view of a mountain range from a plane .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file5__034B16D4B3E94980967CA2B8CF7B27B1.jpeg,['geyser'],geyser,NA,NA,NA,NA,NA,NA
60,a view of an airplane wing from the sky .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file6__AE486B24C81C47A4A4D0B6AA3FC29E1A.jpeg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
61,an airplane wing flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file7__485E442EE780442BAD1E37717337AC02.jpeg,['wing'],wing,NA,NA,NA,NA,NA,NA
62,a person on a surfboard in the water .,http://www.mufoncms.com/files_jeud8334j/90956_submitter_file8__75DB65D0E07C4754A38016B66AED6CD8.jpeg,['bubble'],bubble,NA,NA,NA,NA,NA,NA
63,a plane flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/90421_submitter_file1__IMG2018022416514901.jpeg,"['airship, dirigible']",airship, dirigible,NA,NA,NA,NA,NA
64,a pair of scissors and a pair of scissors .,http://www.mufoncms.com/files_jeud8334j/90421_submitter_file2__Screenshot2018022522320801.jpeg,"['web site, website, internet site, site']",web site, website, internet site, site,NA,NA,NA
65,a plane flying in the sky over some trees .,http://www.mufoncms.com/files_jeud8334j/90421_submitter_file3__IMG2018022416514902.jpeg,['geyser'],geyser,NA,NA,NA,NA,NA,NA
66,a cat sitting in a car looking out the window .,http://www.mufoncms.com/files_jeud8334j/91032_submitter_file1__6B2B55228B1843618E99DA8BBCCF4907.jpeg,"['tub, vat']",tub, vat,NA,NA,NA,NA,NA
67,a couple of people standing on top of a lush green field .,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file1__D2EBEDA9DF854ECEA99A1E5B6A80272F.jpeg,"['radio telescope, radio reflector']",radio telescope, radio reflector,NA,NA,NA,NA,NA
68,a view of a river with a bridge in the background .,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file2__114AC76BDD4F467987291036E310EE8B.jpeg,"['lakeside, lakeshore']",lakeside, lakeshore,NA,NA,NA,NA,NA
69,a black and white photo of a person flying a kite .,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file3__1C7AFCCC7CA249CEB7C6B41990F4456E.jpeg,['water tower'],water tower,NA,NA,NA,NA,NA,NA
70,a black and white photo of people flying kites,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file4__9E70FD8FEE7A477A83AC28BABDFE1D0C.jpeg,['water tower'],water tower,NA,NA,NA,NA,NA,NA
71,a black and white photo of a plane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/91082_submitter_file5__45E025AA0ED14786810C581CDD5FE4C9.jpeg,"['parachute, chute']",parachute, chute,NA,NA,NA,NA,NA
72,a kite flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90557_submitter_file1__20180304125753HDR.jpg,['crane'],crane,NA,NA,NA,NA,NA,NA
73,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90557_submitter_file2__20180304125753HDR11.jpg,['kite'],kite,NA,NA,NA,NA,NA,NA
74,a blue and white bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90557_submitter_file3__20180304125753HDR111.jpg,"['parachute, chute']",parachute, chute,NA,NA,NA,NA,NA
75,a blue and white airplane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90104_submitter_file3__DSC00023copy.jpg,['missile'],missile,NA,NA,NA,NA,NA,NA
76,a group of people sitting on top of a bench .,http://www.mufoncms.com/files_jeud8334j/90264_submitter_file1__fountainhills.jpg,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
77,a large airplane flying over a city at night .,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file1__405ED86A872C4CB8ADA30B2D52584C7C.jpeg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
78,a tall building with a clock on it,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file2__1C36BFDB8A02453B8BFCA4980AE29EAC.jpeg,"['stupa, tope']",stupa, tope,NA,NA,NA,NA,NA
79,a person is flying a kite in the air .,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file3__EF1C9BDB785746D3840B1B0FE462C279.jpeg,['chainlink fence'],chainlink fence,NA,NA,NA,NA,NA,NA
80,a tall clock tower with a sky background,http://www.mufoncms.com/files_jeud8334j/91072_submitter_file4__0177F074B9F6498ABC9CE7D5FFF47F83.jpeg,['palace'],palace,NA,NA,NA,NA,NA,NA
81,a close up of a pair of scissors,http://www.mufoncms.com/files_jeud8334j/91071_submitter_file5__croquis001.jpg,"['puck, hockey puck']",puck, hockey puck,NA,NA,NA,NA,NA
82,a church steeple with a clock on it,http://www.mufoncms.com/files_jeud8334j/91076_submitter_file1__bubble.jpg,"['church, church building']",church, church building,NA,NA,NA,NA,NA
83,a large jetliner flying over a large city .,http://www.mufoncms.com/files_jeud8334j/91078_submitter_file1__IMG20180328071625.jpg,['airliner'],airliner,NA,NA,NA,NA,NA,NA
84,an airplane is parked on the tarmac at an airport .,http://www.mufoncms.com/files_jeud8334j/91078_submitter_file2__IMG20180328071620.jpg,['airliner'],airliner,NA,NA,NA,NA,NA,NA
85,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90854_submitter_file1__201802260606223inaV.jpg,['wing'],wing,NA,NA,NA,NA,NA,NA
86,a close up of a red and white <UNK>,http://www.mufoncms.com/files_jeud8334j/90854_submitter_file2__20180315063953DimLights.jpg,"['brambling, Fringilla montifringilla']",brambling, Fringilla montifringilla,NA,NA,NA,NA,NA
87,a view of a mountain range from an airplane .,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file1__20180318065726.jpg,['wing'],wing,NA,NA,NA,NA,NA,NA
88,a fire hydrant in the middle of a street .,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file2__20180318065716.jpg,['geyser'],geyser,NA,NA,NA,NA,NA,NA
89,a fire hydrant sitting in the middle of a road .,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file3__20180318065640.jpg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
90,a black and white photo of a fire hydrant .,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file4__20180318065639.jpg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
91,a fire hydrant sitting in the middle of a road .,http://www.mufoncms.com/files_jeud8334j/90852_submitter_file5__20180318065636.jpg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
92,an airplane wing flying over a mountain range .,http://www.mufoncms.com/files_jeud8334j/91176_submitter_file1__IMG20180324074428.jpg,['wing'],wing,NA,NA,NA,NA,NA,NA
93,a large jetliner flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/90683_submitter_file1__3138BB9E89214BE0B298F2E10FE51684.jpeg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
94,a view of a plane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90683_submitter_file2__34A414ABA17441B6BD24D8B5F00A7612.jpeg,"['great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']",great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias,NA,NA
95,a group of flowers sitting on top of a table .,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file1__Nic.UFOOrig.jpg,"['patio, terrace']",patio, terrace,NA,NA,NA,NA,NA
96,a kite flying in the sky over a field .,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file2__Nic.UFOzoom1.jpg,"['airship, dirigible']",airship, dirigible,NA,NA,NA,NA,NA
97,a black and white cat sitting on top of a window sill .,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file3__Nic.UFOzoom2.jpg,"['quill, quill pen']",quill, quill pen,NA,NA,NA,NA,NA
98,a black and white photo of a blue and white umbrella,http://www.mufoncms.com/files_jeud8334j/90926_submitter_file4__Nic.UFOzoom3.jpg,"['albatross, mollymawk']",albatross, mollymawk,NA,NA,NA,NA,NA
99,a person holding a pair of scissors in their hands .,http://www.mufoncms.com/files_jeud8334j/90334_submitter_file1__20180220193522.jpg,['envelope'],envelope,NA,NA,NA,NA,NA,NA
100,a pair of scissors sitting on top of a table .,http://www.mufoncms.com/files_jeud8334j/90334_submitter_file2__20180220193537.jpg,['envelope'],envelope,NA,NA,NA,NA,NA,NA
101,a plane is flying high in the sky .,http://www.mufoncms.com/files_jeud8334j/90326_submitter_file1__IMG20171009102432.jpg1.jpg,['geyser'],geyser,NA,NA,NA,NA,NA,NA
102,a clock tower in the middle of a city .,http://www.mufoncms.com/files_jeud8334j/90203_submitter_file1__ufo.jpg,"['bell cote, bell cot']",bell cote, bell cot,NA,NA,NA,NA,NA
103,a person on a snow board flying through the air,http://www.mufoncms.com/files_jeud8334j/90144_submitter_file1__objextintrails.jpg,['wing'],wing,NA,NA,NA,NA,NA,NA
104,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90144_submitter_file2__object2.jpg,['fireboat'],fireboat,NA,NA,NA,NA,NA,NA
105,a blue and white airplane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90707_submitter_file1__20171002113443.jpg,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,NA,NA,NA,NA
106,a group of people flying kites in the sky .,http://www.mufoncms.com/files_jeud8334j/90707_submitter_file2__GoldEgg.jpg,"['parachute, chute']",parachute, chute,NA,NA,NA,NA,NA
107,a plane flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/91137_submitter_file1__08A875374F2748048588C0927FCC9CD2.jpeg,['airliner'],airliner,NA,NA,NA,NA,NA,NA
108,a view of a bridge over the water .,http://www.mufoncms.com/files_jeud8334j/90806_submitter_file2__IMG20180316195929.jpg,['pier'],pier,NA,NA,NA,NA,NA,NA
109,a large body of water with a bridge in the background .,http://www.mufoncms.com/files_jeud8334j/90806_submitter_file3__IMG20180316195923.jpg,"['dock, dockage, docking facility']",dock, dockage, docking facility,NA,NA,NA,NA
110,a city street filled with lots of traffic .,http://www.mufoncms.com/files_jeud8334j/90806_submitter_file4__MVIMG20180316195903.jpg,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,NA,NA,NA,NA
111,a large clock tower towering over a city .,http://www.mufoncms.com/files_jeud8334j/90806_submitter_file5__MVIMG20180316195849.jpg,['pier'],pier,NA,NA,NA,NA,NA,NA
112,a car driving down a road with a stop sign .,http://www.mufoncms.com/files_jeud8334j/90963_submitter_file1__9B317F547D7B4312930F79F9774C4429.jpeg,['car mirror'],car mirror,NA,NA,NA,NA,NA,NA
113,a giraffe standing in the middle of a lush green field .,http://www.mufoncms.com/files_jeud8334j/90418_submitter_file1__thumbnail.jpg,['obelisk'],obelisk,NA,NA,NA,NA,NA,NA
114,a clock tower in the middle of a forest .,http://www.mufoncms.com/files_jeud8334j/91003_submitter_file1__2DEBBE79E3C14887A33D89ECD0CBD34E.jpeg,['geyser'],geyser,NA,NA,NA,NA,NA,NA
115,a bird perched on top of a tree branch .,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file1__IMG3337.jpg,['kite'],kite,NA,NA,NA,NA,NA,NA
116,a flock of birds sitting on top of a tree .,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file2__IMG3308.jpg,['vulture'],vulture,NA,NA,NA,NA,NA,NA
117,a bird flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file3__IMG3322.jpg,"['bald eagle, American eagle, Haliaeetus leucocephalus']",bald eagle, American eagle, Haliaeetus leucocephalus,NA,NA,NA,NA
118,a large jetliner flying through a cloudy blue sky .,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file4__IMG3316.jpg,['kite'],kite,NA,NA,NA,NA,NA,NA
119,a red and white bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file5__IMG3327.jpg,"['bald eagle, American eagle, Haliaeetus leucocephalus']",bald eagle, American eagle, Haliaeetus leucocephalus,NA,NA,NA,NA
120,a bird flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file6__IMG3307.jpg,['vulture'],vulture,NA,NA,NA,NA,NA,NA
121,a bird flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/90564_submitter_file7__IMG3319.jpg,"['bald eagle, American eagle, Haliaeetus leucocephalus']",bald eagle, American eagle, Haliaeetus leucocephalus,NA,NA,NA,NA
122,a small boat in a body of water,http://www.mufoncms.com/files_jeud8334j/90346_submitter_file1__95D999F43DFA49B0871FC049FB33E182.png,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
123,a boat floating on top of a body of water .,http://www.mufoncms.com/files_jeud8334j/90346_submitter_file2__566AE19777154DCCB0270B47084FA0E8.png,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
124,a view of a body of water with mountains in the background .,http://www.mufoncms.com/files_jeud8334j/90346_submitter_file3__3D9164FA6ED94042B413422EDD6859D1.png,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
125,a close up of a pair of scissors,http://www.mufoncms.com/files_jeud8334j/90346_submitter_file4__9DB4034F3AA04408A9A701915DE3371C.png,"['web site, website, internet site, site']",web site, website, internet site, site,NA,NA,NA
126,a plane is flying over a field of grass .,http://www.mufoncms.com/files_jeud8334j/90660_submitter_file1__01UFO.jpg,['volcano'],volcano,NA,NA,NA,NA,NA,NA
127,an airplane flying over a building with a sky background,http://www.mufoncms.com/files_jeud8334j/90660_submitter_file2__02UFO.jpg,['missile'],missile,NA,NA,NA,NA,NA,NA
128,an airplane flying in the sky over a building .,http://www.mufoncms.com/files_jeud8334j/90660_submitter_file3__03UFO.jpg,['missile'],missile,NA,NA,NA,NA,NA,NA
129,a black and white photo of a surf board on the beach .,http://www.mufoncms.com/files_jeud8334j/90660_submitter_file4__04croped.jpg,['tick'],tick,NA,NA,NA,NA,NA,NA
130,a white and blue toothbrush in a white bucket .,http://www.mufoncms.com/files_jeud8334j/90660_submitter_file5__04cropedFilter.jpg,"['lacewing, lacewing fly']",lacewing, lacewing fly,NA,NA,NA,NA,NA
131,a man standing in front of a large building .,http://www.mufoncms.com/files_jeud8334j/90184_submitter_file1__20180202003121.jpg,"['container ship, containership, container vessel']",container ship, containership, container vessel,NA,NA,NA,NA
132,a traffic light sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/90184_submitter_file2__20180201010331.jpg,['library'],library,NA,NA,NA,NA,NA,NA
133,a traffic light suspended over a city street .,http://www.mufoncms.com/files_jeud8334j/90184_submitter_file3__20180201010325.jpg,"['fire engine, fire truck']",fire engine, fire truck,NA,NA,NA,NA,NA
134,a clock tower in the middle of a city .,http://www.mufoncms.com/files_jeud8334j/90184_submitter_file4__20180201010304.jpg,['library'],library,NA,NA,NA,NA,NA,NA
135,a man standing in front of a large building .,http://www.mufoncms.com/files_jeud8334j/90184_submitter_file5__20180202003121.jpg,"['container ship, containership, container vessel']",container ship, containership, container vessel,NA,NA,NA,NA
136,a view of a field of grass and a kite .,http://www.mufoncms.com/files_jeud8334j/90180_submitter_file1__Screenshot20180211133853.jpg,['barn'],barn,NA,NA,NA,NA,NA,NA
137,a person is flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/90180_submitter_file2__Screenshot20180211133820.jpg,['golf ball'],golf ball,NA,NA,NA,NA,NA,NA
138,a plane flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/90933_submitter_file1__DumbbellshapedUFO20170821Time1335.jpg,['obelisk'],obelisk,NA,NA,NA,NA,NA,NA
139,a close up of a tooth brush in a sink,http://www.mufoncms.com/files_jeud8334j/90442_submitter_file1__IMG20180224222505.jpg,['volcano'],volcano,NA,NA,NA,NA,NA,NA
